WAR,statenum,stateabb,yrbeg1,yrend1,wtax,domtax,dombrw,print,domwf,mnyabrd,brwyn,brwabrdyn,brwsoviets,brwus,brworfloatuk,totalbrw,plunder
Franco-Spanish,220,FRN,1823,1823,,, ,, , ,1, , , ,,4,
Franco-Spanish,230,SPN,1823,1823,,,,,,,1,,,,,,
Russo-Turkish,640,TUR,1828,1829,1,2,,,2,1,1,1,0,0,0,,1
Russo-Turkish,365,USR,1828,1829,, ,2,2,3,1,1,1,0,0,0,2,1
Mexican-American,2,USA,1846,1848,1,1,3,0,4,0,1,0,0,1,0,3,
Mexican-American,70,MEX,1846,1848,0,0,2,,3,1,1,1,0,0,1,3,1
First Schleswig-Holstein,390,DEN,1848,1848, ,2,2,0,4,0,1,0,0,0,1,2,0
First Schleswig-Holstein,255,GMY,1848,1848,1,1,0,0,3,2,0,0,0,0,0,0,2
La Plata,160,ARG,1851,1852,1,1,,4,4,0, ,0,0,0,0,,0
La Plata,140,BRA,1851,1852,,1,,1,1,4,1,1,0,0,1,4,0
Crimean,365,USR,1853,1856,0,1,1,3,4,0,1,0,1,0,0,1,0
Crimean,640,TUR,1853,1856,1,1,2,0,2,2,1,1,0,0,1,3,
Crimean,200,UKG,1854,1856,1,2,2,0,4,0,1,0,0,0,1,2,0
Crimean,220,FRN,1854,1856,0,0,4,0,4,0,1,0,0,0,0,4,0
Franco-Mexican,220,FRN,1862,1867,,,3,,4,0,1,0,0,0,0,3,
Franco-Mexican,70,MEX,1862,1867,,,2,1,3,2,1,1,0,1,,3,
Lopez,150,PAR,1864,1870,1,1,1,4,4,1,1,1,0,0,0,1,1
Lopez,140,BRA,1864,1870,,1,1,1,2,2,1,1,0,0,1,2,1
Lopez,160,ARG,1865,1870,0,0,1,0,1,3,1,1,0,0,1,3,
Spanish-Chilean,155,CHL,1865,1866,,,,,,,1,1,,,,,
Spanish-Chilean,230,SPN,1865,1866,,,,,,,,,,,,,
Franco-Prussian,220,FRN,1870,1871,0,0,4,0,4,1,1,1,0,0,1,4,
Franco-Prussian,255,GMY,1870,1871,0,1,3,0,3,1,1,0,0,0,,3,1
Russo-Turkish,365,USR,1877,1878,0,0,2,2,4,1,1,1,,0,0,2,0
Russo-Turkish,640,TUR,1877,1878,1,1,1,,3,1,1,1,0,0,, ,1
Pacific,155,CHL,1879,1883,1,1,1,2,3,2,1,1,0, ,,1,2
Pacific,135,PER,1879,1883,1,1,1,3, ,1,1,1,,,,2,2
Sino-French,710,CHN,1884,1885,1,1,2,0,1,2,1,1,0,0,,3,
Sino-French,220,FRN,1884,1885,,1,3,0,4,0,1,0,0,0,0,3,0
First Sino-Japanese,740,JPN,1894,1895,,1,4,0,4,0,1,0,0,0,0,4,
First Sino-Japanese,710,CHN,1894,1895,1,1,2,0,2,2,1,1,0,0,0,3,
Russo-Japanese,365,USR,1904,1905,1,1,1,2,2,2,1,1,0,0,0,2,0
Russo-Japanese,740,JPN,1904,1905,1,1,2,0,2,2,1,1,0,1,1,4,
Second Spanish-Moroccan,600,MOR,1909,1910,,,,,,,,,,,,,
Second Spanish-Moroccan,230,SPN,1909,1910,,,,,,,,,,,,,
Italo-Turkish,325,ITA,1911,1912,0,0,1,0,4,0,1,0,0,0,0,1,0
Italo-Turkish,640,TUR,1911,1912,1,,,,, ,1,1,,,,,
Balkan I,350,GRC,1912,1913,0,1,2,0,3,1,1,1,0,0,0, ,
Balkan I,640,TUR,1912,1913,1,,,,,,1,1,0,0,,,
World War I,255,GMY,1914,1918,1,1,3,1,4,0,1,0,0,0,0,3,0
World War I,365,USR,1914,1917,1,1,3,1,4,1,1,1,1,1,1,3,0
World War I,220,FRN,1914,1918,,1,3,,4,1,1,1,0,1,1,4,0
World War I,200,UKG,1914,1918,1,1,3,0,4,1,1,1,0,1,1,4,0
World War I,300,AUH,1914,1918,1,1,4,0,4,1,1,1,0,0,0,4,0
World War I,2,USA,1917,1918,1,2,3,0,4,0,1,0,0,1,0,3,0
Estonian War of Liberation,365,RUS,1918,1920,0,0,0,3,3,1,0,0,1,0,0,0,1
Latvian War of Liberation,365,RUS,1918,1920,0,0,0,3,3,1,0,0,1,0,0,0,1
Estonian War of Liberation,366,EST,1918,1920,,,,1,1,3,1,1,0,1,1,3,1
Latvian War of Liberation,367,LAT,1918,1920,,,2,1,1,2,1,1,0,1,1,3,
Greco-Turkish,350,GRC,1919,1922,1,1,3,1,4,0,1,0,0,0,0,3,0
Russo-Polish,365,USR,1919,1920,0,0,0,3,3,1,0,0,1,0,0,0,1
Russo-Polish,290,POL,1919,1920,,,1,1,2,2,1,1,0,1,1,3,1
Greco-Turkish,640,TUR,1919,1922,1,1,,,1,3,1,1,1,0,0,3,0
Franco-Turkish,640,TUR,1919,1921,1,1,,,1,3,1,1,1,0,0,3,0
Franco-Turkish,220,FRN,1919,1921,1,3,1,0,4,0,1,0,0,0,0,2,0
Second Sino-Japanese,710,CHN,1931,1933,1,1,3,0,4,0,1,0,0,0,0,3,0
Second Sino-Japanese,740,JPN,1931,1933,0,,4,0,4,0,1,0,0,0,0,4,0
Chaco,150,PAR,1932,1935,, , , ,1,3,1,1,0,0,,2,1
Chaco,145,BOL,1932,1935,1,1,2,1,4,1,1,1,0,0,,2,0
Italo-Ethiopian,325,ITA,1935,1936,1,1,3,1,4,0,1,0,0,0,0,4,0
Italo-Ethiopian,530,ETH,1935,1936,,,,,3,1,1,1,1,0,,,
Third Sino-Japanese,710,CHN,1937,1941,1,1,3,1,4,0,1,0,0,0,0,1,0
Third Sino-Japanese,740,JPN,1937,1941,1,1,2,1,4,0,1,0,0,0,0,2,0
World War II,200,UKG,1939,1945,1,2,3,0,4,1,1,1,0,1,1,3,0
World War II,255,GMY,1939,1945,1,1,3,2,3,1,1,0,0,0,,3,1
World War II,325,ITA,1940,1943,1,1,2,2,4,,1,,,,,3,
World War II,2,USA,1941,1945,1,2,3,0,4,0,1,0,0,1,0,2,0
World War II,740,JPN,1941,1945,1,1,2,2,4,0,1,0,0,0,0,2,0
World War II,365,USR,1941,1945,1,2,2,,3,1,1,1,1,1,,3,0
Korean,2,USA,1950,1953,1,4,0,0,4,0,0,0,0,0,0,0,0
Korean,732,ROK,1950,1953,1,1,1,2,2,2,1,1,0,1,0,3,
Korean,710,CHN,1950,1953,1,1,,0,1,3,1,1,1,0,0,3,0
Korean,731,PRK,1950,1953,,,,,2,3,1,1,1,0,,3,1
Off-shore Islands War,710,CHN,1954,1955,,,2,,2,2,1,1,1,0,0,,
Off-shore Islands War,713,TAW,1954,1955,1,1,,,1,3,1,1,0,1,0,3,
Vietnamese,2,USA,1965,1973,1,1,3,1,4,0,1,0,0,1,0,3,0
Vietnamese,816,DRV,1965,1975,1,1,,,1,3,1,1,1,0,0,3,1
Vietnamese,817,RVN,1965,1975,1,1,1,2,2,3,1,1,0,1,0,3,
Israeli-Egyptian (War of Attrition),666,ISR,1969,1970,1,1,2,0,3,1,1,1,0,1,0,3,0
Israeli-Egyptian (War of Attrition),651,EGY,1969,1970,1,1,,0,1,3,1,1,1,0,0,3,0
Vietnamese-Cambodian Border War,816,DRV,1977,1979,1,1,1,,1,3,1,1,1,0,0,3,1
Vietnamese-Cambodian Border War,811,CAM,1977,1979,1,1,,,1,3,1,1,0,0,0,3,
Ethiopian-Somalian,530,ETH,1977,1978,,,,,0,4,1,1,1,0,0,4,
Ethiopian-Somalian,520,SOM,1977,1978,,,,, ,4,1,1,0,0,0,,
Iran-Iraq,630,IRN,1980,1988,1,1,,,4,0,1,0,0,0,, ,
Iran-Iraq,645,IRQ,1980,1988,,,,,2,2,1,1,1,1,,2,
War over the AouzouStrip,483,CHA,1986,1987,,,,,1,4,1,1,0,1,,,1
War over the AouzouStrip,620,LIB,1986,1987,,,,,4,,0,0,0,0,0,0,
Gulf War,645,IRQ,1990,1991,,,,,4,1,0,0,0,0,0,0,1
Gulf War,690,KUW,1990,1991,0,0,0,0,4, ,1,1,0,0,0,1,
Badme Border War,531,ERI,1998,2000, ,1,3,,3,1,1, ,,,,3,
Badme Border War,530,ETH,1998,2000,,,4,,4,,1,,,,,,
Invasion of Afghanistan,2,USA,2001,2001,0,0,3,0,3,2,1,1,0,1,,4,0
Invasion of Iraq,2,USA,2003,2003,0,0,3,0,3,2,1,1,0,1,,4,0
